,name,review,date_old,rating,company,country,date,topic,content
931,Yasi Artist,1.0,"Friday, October 11, 2024 at 11:35:41 p.m.",1,walmart,United States,2024-10-01 23:35:41,treated me like as i was a thief for an item i purchased,today i had purchased an item and paid cash at the electronics department i have numb fingers and a disability from my military service i was not able to find the receipt i forgot that i put it in another part of my wallet my wallet is full of receipts i am spending ten minutes to find my receipt and walked to a trash can to find it people are looking at me also i was already being stared down because i am dressed in my religious clothing and being targeted already on top of everything being treated like i am a thief because my hands were full and i have trouble holding things they follow me like i stole what i have purchased i found the receipt and the impatience of these people is rude i showed her the receipt and i am irritated by now and dont care anymore she said she did not see it i do not care at this point  i am stressed out and being treated like a thief what kind of store does this i do not care about their theft policies and i do not appreciate to be treated like a thief i am a veteran and have served honorably then i come back and get treated like this i really flipped because of the disrespectful treatment i have been shopping at walmart for 28 years and today was my last day ever to go there or any other walmart i will no longer support a business that treats me like i am less of a person and treated like a thief for something i had bought from their store i stopped frequenting walmart because of this but today was too much after all of these years walmarts customer service is so inferiorthis is a free country and you treat your customers like they are thieves if you cannot handle your employees of course people will steal you dont have enough people to work there yet you want the merchandise to be checked when a customer leaves like it is a military checkpoint from here on out i have no need to buy anything from walmart i find other ways to buy what i need without being demeaned harrassed and have accusatory treatment done by such a regretful business
932,diane reed,1.0,"Wednesday, September 25, 2024 at 04:46:55 p.m.",4,walmart,United States,2024-09-01 16:46:55,order the tyre didnt last for a month,order the tyre didnt last for a monthcontacted the walmart corporatecomplaint number7   0   6eight nine zero 7  1   1    7they gave me replacement 
933,Stgent St Gabriel,1.0,"Friday, October 4, 2024 at 01:10:41 p.m.",4,walmart,United States,2024-10-01 13:10:41,i love going to walmart,i love going to walmart everything i need is all in one place the workers are respectful and helpful every time
934,Falicia Mclaughlin,1.0,"Tuesday, October 1, 2024 at 08:50:05 p.m.",5,walmart,United States,2024-10-01 20:50:05,walmarts delivery is always fast,walmarts delivery is always fast product is exactly what i wanted every time thank you 
935,di,2.0,"Friday, September 27, 2024 at 03:13:42 p.m.",5,walmart,United States,2024-09-01 15:13:42,10 overcharge1mils 10mil, if walmart overcharges 1million customers 10 thats 10million unaccounted s hope my 10 overcharge is being held in an intrest bearing account hope walmart gets audit from irs
936,Jim West,1.0,"Friday, September 27, 2024 at 01:06:46 p.m.",1,walmart,United States,2024-09-01 13:06:46,made an order monday online,made an order monday online before submitting said order it said delivery would be wednesday  once ordered it changed to thursday wednesday night got notification it would be delayed used chat to clarify on thursday  told they dont know when my order will arrive  offered a 25 gift card for next purchase i told them there will be no next time 350 order wasted
938,Kitty Gacha 234,5.0,"Saturday, October 5, 2024 at 02:49:05 p.m.",1,walmart,United States,2024-10-01 14:49:05,worst experience,i orders in ered groceries for me in columbus and for my mother in cleveland on october 4th 2024 my mother received her order and mine did not arrive in the time that i requested between 2  4pm i called 2 or 3x yesterday and it wasnt until the last call that i was told the driver cancelled my order it is now 1150 am the next day and i still have no groceries i called again today and asked for a suptervtisor and that was a horrible experience the supervisors name is edsln incident number 2410055270102000000 the agents i spoke with prior to him kept telling me all they could do was send a request to walmart to attach a driver once that was done i should get my groceries by 800pm today my daughter and i havent eaten since yesterday morning and because they have my order and they have my money i cant buy anymore food then after all that edsln offered me a 25 gift card towards a future order as if that was the going rate for me to accept the apologies that supervisor was heartless inconsiderate and had no compassion for the inconvenience this whole ordeal has caused my mother and i have  been walmart members for a little while now and i have never been treated this way my daughter is only 16 she cant fend for herself i am utterly disgusted with this whole ordeal walmart you have disappointed me to offer me 25 for my child not eating since yesterday is in sane and a complete insult i will never shop here again
939,Erica Foster,1.0,"Sunday, September 29, 2024 at 02:13:30 p.m.",1,walmart,United States,2024-09-01 14:13:30,walmartcom taking money out of my account unauthorized ,a week ago i did an online grocery order there were a few products that were not in stock so a couple days ago they finally refunded me the portion of money for the out of stock items today walmart decided that they would just take that money back out of my account i got no email as to why they did that so i called walmartcom and the explanation they gave is that it might be a glitch in the system and as soon as they go thru a process of looking over the information and monitoring the transaction then they will give me a refund thats ridiculous why would they refund me and then take the refund back i honestly dont know if i will be doing anything online anymore regarding walmart they are untrustworthy 
940,E Thompson,6.0,"Friday, September 27, 2024 at 08:41:31 a.m.",1,walmart,United States,2024-09-01 08:41:31,i have placed 3 online orders and all,i have placed 3 online orders and all three did not show up walmart always insists that you wait 48 hours before refunding you spent an hour on phone only to get the same run around hire reputable delivery people once my refund is done i will delete my account and will not shop in their stores not a reliable place to shop on line deliveries never make it 
941,Robert,2.0,"Thursday, September 26, 2024 at 12:02:07 p.m.",1,walmart,United States,2024-09-01 12:02:07,i ordered a product from their online,i ordered a product from their online service 30 minutes later i get a message order has been canceled the real kicker is they hold your money for 10 days and they canceled the order imagine having a store where you could just hold peoples money for 10 days and the customer has nothing no product no service for security reasons imagine that
942,Ava DeCosta,5.0,"Sunday, September 1, 2024 at 01:00:54 a.m.",3,walmart,United States,2024-09-01 01:00:54,employees with attitude,this stores mid i just get what i need to get and rush the hell outta there there employees are so rude lol majority of them are foreign so there are a lot of them who dont know english i am from mexico so i know spanish and i once over heard two female employees talking crap about a woman with albinisim who had just left the dressing room which was pretty messed up and it was all in spanish so the poor woman had no idea
943,Sharron Jones,1.0,"Tuesday, October 1, 2024 at 03:59:24 p.m.",1,walmart,United States,2024-10-01 15:59:24,i purchased a tv from walmart on,i purchased a tv from walmart on september 152024 they sent me a defective tv that didnt work so they sent a freight company to come get on september 18 and they still havent refunded me nor have they sent me another tv i call almost everyday and they constantly tell me i have to wait until the tv makes it back to the warehouse i was told it take 5 business days for the freight company to have it back to the warehouse here it is october 12024 and its still not at the warehouse i think they took my tv and now walmart i do not trying to give me another one nor refund my money ive spoke with vence robertojorgeiawagualizelemelody and honey joyce she supposed to be a manager im currently trying to dispute this through my bank once i do receive my money im canceling my membership and will not be buying anything else from walmart this experience is stressful and dont want to go through something like this again and i gave them my money
